Rank,NCTId,Phase,StudyType,ConditionMeshTerm,PrimaryOutcomeMeasure,StdAge,InterventionType,InterventionName,InterventionOtherName,InterventionMeshTerm,InterventionAncestorTerm,LeadSponsorName,LeadSponsorClass,ResponsiblePartyInvestigatorAffiliation,OverallOfficialAffiliation,CollaboratorName,CollaboratorClass,BriefSummary
1,NCT05162469,Phase 1,Interventional,Neoplasms,MTD of SHR-1909|RP2D of SHR-1909,Adult|Older Adult,Drug,SHR-1909 injection,,,,"Shanghai Hengrui Pharmaceutical Co., Ltd.",INDUSTRY,,,,,"This is an, open-label, multi-center, three-part phase I trial to evaluate the safety, pharmacokinetics and immunogenicity of SHR-1909 and preliminary anti-tumor efficacy of SHR-1909 in advanced malignant cancer."
2,NCT05754983,,Observational,Neoplasms,Progression-Free-Survival (PFS),Adult|Older Adult,Drug,Solid tumor patients receiving immunotherapy for the first time were included in the study,,,,First Affiliated Hospital Xi'an Jiaotong University,OTHER,,,,,"This study plans to conduct a multicenter, observable and controlled cohort study to solid-tumor patients with receiving immunotherapy and to collect information about their treatment related efficacy, adverse reactions and health status to build a prospective disease cohort database based on patient reports, and then analyze the risk factors affecting the efficacy and prognosis of immunotherapy and the impact of immunotherapy on health status.It is expected to provide high-level evidence-based medical evidence for the selection of immunotherapy schemes for these patients, the precise prevention and health management of adverse reactions after immunotherapy, and the further improvement of survival prognosis of patients"
3,NCT02435290,,Observational,Neoplasms,prescribing errors average,Adult|Older Adult,Behavioral,"determine the incidence , type , and severity of prescribing errors in the oncology department",report prescribing errors to the physician and solutions .|study the impact of newly addressed risk factors on prescribing errors.,,,hadeer ehab,OTHER,Ain Shams University,Ain Shams University|Ain Shams University,,,"It is a cross-sectional study examining a random sample of in- and out-patients, with proven malignant disease receiving chemotherapy, over a period of 6 months from the start of the study who visit the Oncology department, Ain Shams University Teaching Hospitals. The effect of some risk factors on the prescribing error will be studied; these risk factors include the following: Tumor type ,Cancer stage ,type of comorbid illness ,type of medication , type of anti-cancer treatment , number of abnormal lab data ,type of abnormal lab data , the number of drugs in the treatment regimen , the number of side effects after chemotherapy administration, the age of patient ,the dosing frequency of anticancer ,the route of administration .||Summary statistics are performed to describe patient characteristics , frequency, types and classification of medication error; and frequency with which Medication errors occur.||Logistic regression will be applied to the collected data to perform a predictive relation between the risk factors which may be (categorical, continuous, or discrete) and the prescribing errors which are (categorical)."
4,NCT03721055,Not Applicable,Interventional,Neoplasms|Brain Neoplasms,Diagnosing and Staging ability of 4-[18F]Fluoroglutamine PET/CT in malignant cancer,Adult|Older Adult,Radiation,"18F-(2S,4R)4-fluoroglutamine",,,,"Xinhua Hospital, Shanghai Jiao Tong University School of Medicine",OTHER,,,,,"This clinical trial studies positron emission tomography (PET) imaging utilizing 18F-(2S,4R)4-fluoroglutamine, a glutamic acid derivative, to image patients with malignant tumor. [18F]Fluoroglutamine PET may provide additional information that help diagnose and stage cancer patients."
5,NCT00547586,Phase 2,Interventional,Constipation,"Percentage of Participants With a Spontaneous Bowel Movement (SBM) Within 1, 2, 3, 4, and 6 Hours of Treatment",Adult|Older Adult,Drug|Other,N-methylnaltrexone bromide (MOA-728)|placebo,,Bromides|Methylnaltrexone,Anticonvulsants|Narcotic Antagonists|Physiological Effects of Drugs|Sensory System Agents|Peripheral Nervous System Agents,"Bausch Health Americas, Inc.",INDUSTRY,,Wyeth is now a wholly owned subsidiary of Pfizer,"Progenics Pharmaceuticals, Inc.",INDUSTRY,"The primary purpose of this study is to evaluate the safety and dose-response relationship of N-methylnaltrexone bromide (MOA-728) by observing spontaneous bowel movements in subjects with chronic pain, which is not due to malignant cancer, and who have opioid-induced bowel dysfunction (OIBD)."
6,NCT01222780,Phase 1,Interventional,Neoplasms|Sarcoma|Brain Neoplasms|Neuroblastoma|Wilms Tumor,"Define the toxicity spectrum of Marqibo in children with cancer|Determine of Marqibo® administered as a 60 minute intravenous infusion weekly (every 28 days constitute 1 cycle), in children and adolescents with refractory solid tumors and hematologic malignancies.|Determine dose limiting toxicities (DLT) of Marqibo® administered as a 60 minute intravenous infusion weekly (every 28 days constitute 1 cycle), in children and adolescents with refractory solid tumors and hematologic malignancies.",Child|Adult,Drug,Marqibo,Vincristin Sulfate Liposomal Injection,Vincristine,"Antineoplastic Agents, Phytogenic|Antineoplastic Agents|Tubulin Modulators|Antimitotic Agents|Mitosis Modulators|Molecular Mechanisms of Pharmacological Action",Acrotech Biopharma Inc.,INDUSTRY,,National Cancer Institute (NCI),National Cancer Institute (NCI),NIH,"Background:||Marqibo(Registered Trademark) is a new anticancer drug. It combines Vincristine sulfate, which is a widely used anticancer drug, and packages it into a tiny fat bubble known as a liposome. The goal of this is to improve the drug's ability to destroy cancer cells and help reduce the potential side effects of treatment.|Vincristine sulfate was originally developed from chemicals found in the periwinkle plant and acts against multiple types of malignant cancer. It is approved for multiple cancer types including solid tumors and blood cancers.|Research has shown that Marqibo(Registered Trademark) is able to slow or stop the growth of cancer cells in some adults, both alone and in combination with other chemotherapy drugs, but more research is needed to determine its use in children.|There has been one previous small study of Marqibo(Registered Trademark) in children. Although some anti-cancer activity was seen, side effects and optimal dosing were not fully determined.|As is seen with standard Vincristine suflate, the most common side effect of Marqibo(Registered Trademark) involves the nervous system. It can cause numbness and tingling in the hands and feet. Symptoms commonly improve when the drug is discontinued or the dose is lowered.||Objectives:||- To determine the safety and efficacy of Marqibo as a treatment for children who have been diagnosed with certain types of malignant cancer that has not responded to standard treatment.||Eligibility:||Children and adolescents between 2 and 21 years of age who have been diagnosed with certain types of malignant cancer that has not responded to standard treatment.|These cancer types include solids tumors, primary brain tumors, leukemias, and lymphomas."
7,NCT03662815,Phase 1,Interventional,Neoplasms,Objective Response Rate|Number of participants experiencing clinical and laboratory adverse events (AEs),Adult|Older Adult,Biological|Other,iNeo-Vac-P01|GM-CSF,granulocyte-macrophage colony stimulating factor,Molgramostim|Sargramostim,Immunologic Factors|Physiological Effects of Drugs|Antineoplastic Agents,Sir Run Run Shaw Hospital,OTHER,Sir Run Run Shaw Hospital,,"Hangzhou Neoantigen Therapeutics Co., Ltd.",INDUSTRY,"This research study is evaluating a new type of cancer vaccine called ""Personalized Neoantigen Cancer Vaccine"" as a possible treatment for advanced malignant tumor. The purpose of the clinical study is evaluating the safety, tolerability and partial efficacy of the personalized neoantigen cancer vaccine in the treatment of Chinese patients with advanced malignant cancer, so as to provide a new personalized therapeutic strategy for advanced pancreatic cancer patients.||It is known that cancer patients have mutations (changes in genetic material) that are specific to an individual patient and tumor. These mutations can cause the tumor cells to produce proteins that appear very different from the body's own cells. It is possible that these proteins used in a vaccine may induce strong immune responses, which may help the participant's body fight any tumor cells that could cause the cancer to come back in the future. The study will examine the safety of the vaccine when given at several different time points and will examine the participant's blood cells for signs that the vaccine induced an immune response."
8,NCT01371942,,Observational,Colorectal Neoplasms,,Adult|Older Adult,,,,,,Taipei Medical University WanFang Hospital,OTHER,,Taipei Medical University WanFang Hospital,,,"The aim of this study is to investigate mutational changes occurring in colorectal tumors, from benign polyps, malignant cancer and metastatic tumors. The investigators also plan to establish the clinical correlation, emphasizing on aspects such as the diagnosis and prognosis of disease and the specific treatment outcome. For the purpose, the investigators plan to obtain specimens from patients with colorectal tumors to extract DNA material. The specimens include tissues from either primary (mostly endoscopic biopsies specimens) or metastatic tumors (obtained from sonogram or other imaging modalities guided biopsy), as well as other humors including blood (for serum), malignant ascites, pleural effusions or other body fluids that could be related to CRCs. These patients would receive detailed explanations with regard to the investigations before signing IRB consent. At the initial stage, Wanfang Medical Center would be the only medical institution where endoscopic specimens would be collected. The project would eventually be extended to the Taipei Medical University Hospital and Shuan-Ho Hospital."
9,NCT02672020,Not Applicable,Interventional,Adrenal Gland Neoplasms,Malignant status,Child|Adult|Older Adult,Biological,omics identity card,,,,Assistance Publique - Hôpitaux de Paris,OTHER,,"Assistance Publique Hopitaux de Paris-HEGP, Paris, France","Ministry of Health, France|Institut National de la Santé Et de la Recherche Médicale, France|National Cancer Institute, France",OTHER_GOV|OTHER_GOV|OTHER_GOV,"Malignant pheochromocytoma/paraganglioma (MPP) and adrenocortical carcinoma (ACC) are two rare cancer entities with a very unfavorable prognosis. The knowledge on these rare cancers improved thanks to the French COMETE network originally based on two clinical centers (HEGP and Cochin) well organized for clinical and biological samples collection. Over the last 10 years, the COMETE key partners deciphered molecular mechanisms of tumorigenesis and oncogenesis of these tumors and identified molecular signatures discriminating between benign and malignant cancers by integrated genomic approaches. This strategy was highly successful in delivering new diagnostic applications of genomics technologies that now appear as potentially suitable for rapid implementation in routine clinical care.||The main objective of COMETE-TACTIC is to provide an easy-to-use ""identity card"" of the adrenal tumors that will allow a personalized ""à la carte"" management of the patient and, when indicated, to the indication of the most accurate molecular targeted therapy.||We hypothesize that the improvement of MPP and ACC diagnosis and of the therapeutic options proposed to affected patients will require,||the transfer to routine practice and the prospective validation of the novel diagnostic and predictive biomarkers issued from recent discoveries (genetics, genomics, histological biomarkers);|the implementation of the translational research projects based on the COMETE collection to identify circulating diagnostic, prognostic and therapeutic genetic and metabolic biomarkers that could be used as non-invasive ""liquid biopsies""."
10,NCT01259193,Phase 2,Interventional,"Carcinoma, Hepatocellular",numbers of adverse events,Adult|Older Adult,Drug,Sorafenib and Zoledronic Acid,,Zoledronic Acid|Sorafenib,Antineoplastic Agents|Protein Kinase Inhibitors|Enzyme Inhibitors|Molecular Mechanisms of Pharmacological Action|Bone Density Conservation Agents|Physiological Effects of Drugs,Fudan University,OTHER,,,,,"Sorafenib ,an oral multikinase inhibitor targeting several tyrosine-kinase receptors with antiangiogenesis and antiproliferation of HCC, is the first approved target therapy for HCC.||Zoledronic acid is used for treatment of bone metastasis of diverse malignant cancer. Emerging data suggest that zoledronic acid may also exhibit anticancer properties.||The objectives of the study is to evaluate the safety of Sorafenib combined with Zoledronic Acid and to evaluate overall survival and time to progression."
